,content,style,total
100,15619.81445,4623473.5,185095136
200,16410.78906,1727043.875,69245856
300,16763.48242,1004255.563,40337860
400,16949.63477,693432.75,27906806
500,17092.93555,520048.2188,20972858
600,17214.48242,411570.6563,16634971
700,17240.42773,382148.6563,15458350
800,17395.2793,287428.6563,11671099
900,17506.03125,246877.9219,10050177
1000,17599.58789,213706.5,8724256
,total,,
100,185095136,,
200,69245856,,
300,40337860,,
400,27906806,,
500,20972858,,
600,16634971,,
700,15458350,,
800,11671099,,
900,10050177,,
1000,8724256,,
,style,,
100,4623473.5,,
200,1727043.875,,
300,1004255.563,,
400,693432.75,,
500,520048.2188,,
600,411570.6563,,
700,382148.6563,,
800,287428.6563,,
900,246877.9219,,
1000,213706.5,,
